DataSet,InputSize,LabelLen,CropNum,MaxIter,lrStart,optimizer,trainBS,valBS,VMAE
hade,"128,64",65,45,20000,0.001,adam,32,32,45.039085
hade,"128,128",65,45,20000,0.001,adam,128,32,45.983524
hade,"128,64",65,45,20000,0.001,adam,64,32,46.226093
hade,"128,128",40,45,20000,0.001,adam,128,32,47.02694
hade,"128,128",40,45,20000,0.001,adam,64,32,52.711807
hade,"128,64",40,45,20000,0.001,adam,128,32,57.459614
hade,"128,64",40,45,20000,0.001,adam,64,32,58.468582
hade,"128,128",40,45,20000,0.001,adam,32,32,58.62806
hade,"64,64",65,45,20000,0.001,adam,32,32,62.422367
hade,"128,64",40,45,20000,0.001,adam,16,32,65.54008
hade,"128,128",65,45,20000,0.001,adam,16,32,65.885086
hade,"128,128",65,45,20000,0.001,adam,64,32,69.468346
hade,"128,64",65,45,20000,0.001,adam,16,32,70.92652
hade,"128,64",65,45,20000,0.001,adam,128,32,73.755905
hade,"128,128",40,45,20000,0.001,adam,16,32,89.0888
hade,"64,64",40,45,20000,0.001,adam,128,32,92.88287
hade,"64,64",65,45,20000,0.001,adam,64,32,96.49525
hade,"64,64",65,45,20000,0.001,adam,128,32,106.415726
dq8,"128,128",40,45,20000,0.001,adam,128,32,108.61565
hade,"64,64",65,45,20000,0.001,adam,16,32,113.461334
hade,"64,64",40,45,20000,0.001,adam,32,32,116.833755
hade,"64,64",40,45,20000,0.001,adam,64,32,127.6789
dq8,"128,128",65,45,20000,0.001,adam,128,32,137.45401
hade,"64,64",40,45,20000,0.001,adam,16,32,141.2642
dq8,"128,128",65,45,20000,0.001,adam,64,32,144.92398
dq8,"128,128",40,45,20000,0.001,adam,64,32,152.31242
dq8,"64,64",40,45,20000,0.001,adam,128,32,250.91875
dq8,"128,128",65,45,20000,0.001,adam,32,32,829.70514
dq8,"64,64",65,45,20000,0.001,adam,16,32,844.0259
dq8,"128,128",40,45,20000,0.001,adam,32,32,845.26636
dq8,"128,128",40,45,20000,0.001,adam,16,32,849.86414
dq8,"64,64",65,45,20000,0.001,adam,32,32,871.28125
dq8,"64,64",40,45,20000,0.001,adam,32,32,884.1399
dq8,"64,64",40,45,20000,0.001,adam,16,32,936.2207
dq8,"64,64",40,45,20000,0.001,adam,64,32,945.9525
dq8,"128,128",65,45,20000,0.001,adam,16,32,1133.8269
hade,"128,64",40,45,20000,0.001,adam,32,32,1293.9084
hade,"128,128",65,45,20000,0.001,adam,32,32,1344.4818
